"","assists_per_minute","height","time_played","age","points_per_minute","masde2metros","alto","assists_per_hour","assists_per_match","decada"
"1",0.0888,201,36.02,28,0.5885,TRUE,"Alto",5.328,3.552,"20's"
"2",0.1399,198,39.32,30,0.8291,FALSE,"Bajo",8.394,5.596,"30's"
"3",0.0747,198,38.8,26,0.4974,FALSE,"Bajo",4.482,2.988,"20's"
"4",0.0983,191,40.71,30,0.5772,FALSE,"Bajo",5.898,3.932,"30's"
"5",0.1276,196,38.4,28,0.5703,FALSE,"Bajo",7.656,5.104,"20's"
"6",0.1671,201,34.1,31,0.5835,TRUE,"Alto",10.026,6.684,"30's"
"7",0.1906,193,36.2,30,0.5276,FALSE,"Bajo",11.436,7.624,"30's"
"8",0.1061,191,36.75,27,0.5523,FALSE,"Bajo",6.366,4.244,"20's"
"9",0.2446,185,38.43,29,0.4007,FALSE,"Bajo",14.676,9.784,"20's"
"10",0.167,203,33.54,24,0.477,TRUE,"Alto",10.02,6.68,"20's"
"11",0.2485,188,35.01,27,0.4313,FALSE,"Bajo",14.91,9.94,"20's"
"12",0.1227,198,36.67,29,0.4909,FALSE,"Bajo",7.362,4.908,"20's"
"13",0.124,185,33.88,24,0.5668,FALSE,"Bajo",7.44,4.96,"20's"
"14",0.1461,191,35.59,30,0.5113,FALSE,"Bajo",8.766,5.844,"30's"
"15",0.2315,191,38.01,28,0.3788,FALSE,"Bajo",13.89,9.26,"20's"
"16",0.0494,193,32.38,32,0.559,FALSE,"Bajo",2.964,1.976,"30's"
"17",0.1107,196,35.22,25,0.4799,FALSE,"Bajo",6.642,4.428,"20's"
"18",0.2521,183,31.73,29,0.5735,FALSE,"Bajo",15.126,10.084,"20's"
"19",0.1007,193,28.81,34,0.6318,FALSE,"Bajo",6.042,4.028,"30's"
"20",0.1067,196,35.6,23,0.4326,FALSE,"Bajo",6.402,4.268,"20's"
"21",0.1956,188,35.28,32,0.428,FALSE,"Bajo",11.736,7.824,"30's"
"22",0.1828,191,29.54,28,0.4401,FALSE,"Bajo",10.968,7.312,"20's"
"23",0.1627,196,31.35,28,0.5581,FALSE,"Bajo",9.762,6.508,"20's"
"24",0.1403,198,33.5,23,0.4866,FALSE,"Bajo",8.418,5.612,"20's"
"25",0.1563,193,34.56,32,0.5267,FALSE,"Bajo",9.378,6.252,"30's"
"26",0.2681,183,39.53,27,0.5439,FALSE,"Bajo",16.086,10.724,"20's"
"27",0.1236,196,26.7,34,0.4419,FALSE,"Bajo",7.416,4.944,"30's"
"28",0.13,188,30.77,26,0.3998,FALSE,"Bajo",7.8,5.2,"20's"
"29",0.0896,198,25.67,30,0.4325,FALSE,"Bajo",5.376,3.584,"30's"
"30",0.2071,178,36.22,30,0.4086,FALSE,"Bajo",12.426,8.284,"30's"
"31",0.2244,185,36.55,23,0.4624,FALSE,"Bajo",13.464,8.976,"20's"
"32",0.3437,185,34.91,31,0.4325,FALSE,"Bajo",20.622,13.748,"30's"
"33",0.1058,191,28.35,28,0.4903,FALSE,"Bajo",6.348,4.232,"20's"
"34",0.2326,185,33.53,27,0.4802,FALSE,"Bajo",13.956,9.304,"20's"
"35",0.1577,193,31.07,25,0.4345,FALSE,"Bajo",9.462,6.308,"20's"
"36",0.2327,185,36.52,32,0.4819,FALSE,"Bajo",13.962,9.308,"30's"
"37",0.1256,196,27.87,29,0.6244,FALSE,"Bajo",7.536,5.024,"20's"
"38",0.107,198,24.31,34,0.3991,FALSE,"Bajo",6.42,4.28,"30's"
"39",0.1343,193,31.26,28,0.4414,FALSE,"Bajo",8.058,5.372,"20's"
"40",0.0586,196,22.18,23,0.4013,FALSE,"Bajo",3.516,2.344,"20's"
"41",0.2383,185,35.25,26,0.3801,FALSE,"Bajo",14.298,9.532,"20's"
"42",0.1006,198,22.87,30,0.3498,FALSE,"Bajo",6.036,4.024,"30's"
"43",0.2164,193,24.49,32,0.3185,FALSE,"Bajo",12.984,8.656,"30's"
"44",0.1485,198,23.57,27,0.3097,FALSE,"Bajo",8.91,5.94,"20's"
"45",0.227,191,31.72,27,0.4319,FALSE,"Bajo",13.62,9.08,"20's"
"46",0.1649,188,27.9,25,0.3799,FALSE,"Bajo",9.894,6.596,"20's"
"47",0.1188,191,22.74,24,0.4091,FALSE,"Bajo",7.128,4.752,"20's"
"48",0.194,193,20.62,27,0.3588,FALSE,"Bajo",11.64,7.76,"20's"
"49",0.2495,185,30.46,25,0.4727,FALSE,"Bajo",14.97,9.98,"20's"
"50",0.2378,185,32.38,27,0.3212,FALSE,"Bajo",14.268,9.512,"20's"
"51",0.1592,191,25.75,31,0.3418,FALSE,"Bajo",9.552,6.368,"30's"
"52",0.2069,170,33.84,30,0.4285,FALSE,"Bajo",12.414,8.276,"30's"
"53",0.2084,185,27.83,25,0.3917,FALSE,"Bajo",12.504,8.336,"20's"
"54",0.0877,193,21.67,26,0.5769,FALSE,"Bajo",5.262,3.508,"20's"
"55",0.101,193,21.79,24,0.4773,FALSE,"Bajo",6.06,4.04,"20's"
"56",0.0942,201,20.17,26,0.4512,TRUE,"Alto",5.652,3.768,"20's"
"57",0.055,193,29.07,31,0.3096,FALSE,"Bajo",3.3,2.2,"30's"
"58",0.1071,196,24.28,24,0.3089,FALSE,"Bajo",6.426,4.284,"20's"
"59",0.0728,193,19.24,27,0.4573,FALSE,"Bajo",4.368,2.912,"20's"
"60",0.2771,180,27.07,28,0.3214,FALSE,"Bajo",16.626,11.084,"20's"
"61",0.0528,196,18.95,22,0.5437,FALSE,"Bajo",3.168,2.112,"20's"
"62",0.213,188,21.59,30,0.4121,FALSE,"Bajo",12.78,8.52,"30's"
"63",0.1356,193,13.27,31,0.2185,FALSE,"Bajo",8.136,5.424,"30's"
"64",0.1043,196,16.3,23,0.3313,FALSE,"Bajo",6.258,4.172,"20's"
"65",0.113,191,23.01,25,0.3302,FALSE,"Bajo",6.78,4.52,"20's"
"66",0.1477,196,20.31,31,0.4677,FALSE,"Bajo",8.862,5.908,"30's"
"67",0.1317,188,17.46,33,0.2406,FALSE,"Bajo",7.902,5.268,"30's"
"68",0.2187,191,21.95,28,0.3007,FALSE,"Bajo",13.122,8.748,"20's"
"69",0.2127,188,14.57,37,0.2471,FALSE,"Bajo",12.762,8.508,"30's"
"70",0.2547,160,34.55,28,0.2894,FALSE,"Bajo",15.282,10.188,"20's"
"71",0.1591,191,22,24,0.3682,FALSE,"Bajo",9.546,6.364,"20's"
"72",0.0898,196,13.37,34,0.389,FALSE,"Bajo",5.388,3.592,"30's"
"73",0.2146,188,20.51,24,0.512,FALSE,"Bajo",12.876,8.584,"20's"
"74",0.1871,183,19.78,28,0.4449,FALSE,"Bajo",11.226,7.484,"20's"
"75",0.1528,191,16.36,33,0.4035,FALSE,"Bajo",9.168,6.112,"30's"
"76",0.156,191,16.03,23,0.2683,FALSE,"Bajo",9.36,6.24,"20's"
"77",0.2348,188,24.27,26,0.2719,FALSE,"Bajo",14.088,9.392,"20's"
"78",0.1623,180,18.49,28,0.3408,FALSE,"Bajo",9.738,6.492,"20's"
"79",0.1239,180,17.76,26,0.4393,FALSE,"Bajo",7.434,4.956,"20's"
"80",0.2178,185,13.31,25,0.3004,FALSE,"Bajo",13.068,8.712,"20's"
"81",0.1608,185,17.41,26,0.3503,FALSE,"Bajo",9.648,6.432,"20's"
"82",0.0805,193,13.67,25,0.4388,FALSE,"Bajo",4.83,3.22,"20's"
"83",0.1776,193,17.46,27,0.2578,FALSE,"Bajo",10.656,7.104,"20's"
"84",0.1668,185,14.38,35,0.2989,FALSE,"Bajo",10.008,6.672,"30's"
"85",0.1072,188,12.12,31,0.4455,FALSE,"Bajo",6.432,4.288,"30's"
"86",0.1821,185,12.63,25,0.3087,FALSE,"Bajo",10.926,7.284,"20's"
"87",0.188,180,12.24,30,0.3678,FALSE,"Bajo",11.28,7.52,"30's"
"88",0.1167,196,12,24,0.3667,FALSE,"Bajo",7.002,4.668,"20's"
"89",0.2617,185,24.46,27,0.3189,FALSE,"Bajo",15.702,10.468,"20's"
"90",0.1994,188,20.06,27,0.4187,FALSE,"Bajo",11.964,7.976,"20's"
"91",0.1706,170,17,25,0.5059,FALSE,"Bajo",10.236,6.824,"20's"
"92",0.1554,183,11.58,24,0.3195,FALSE,"Bajo",9.324,6.216,"20's"
"93",0.2282,185,10.08,24,0.2381,FALSE,"Bajo",13.692,9.128,"20's"
"94",0.1778,185,18.56,23,0.2802,FALSE,"Bajo",10.668,7.112,"20's"
"95",0.1863,185,11.81,23,0.381,FALSE,"Bajo",11.178,7.452,"20's"
"96",0.1014,193,13.81,32,0.1593,FALSE,"Bajo",6.084,4.056,"30's"
